H_TEAM,A_TEAM,GENDER,NUM_F,NUM_M,HALF,SET_NUM,SET_TIME,HOME_RESULT,FINISH,H_HITS,A_HITS,H_THROW,A_THROW,H_CATCH,A_CATCH,H_OUTS,A_OUTS,H_BLOCK,A_BLOCK,ACCURACY,H_BLOCK_PCT,A_BLOCK_PCT,H_CATCH_PCT,A_CATCH_PCT,PACE
England,United States,M,0,6,2,6,2:44,L,eliminated,1,3,11,14,5,0,6,1,0,2,16.00%,0.00%,18.18%,35.71%,0.00%,9.15
Australia,Mexico,Mix,3,3,1,6,3:00,L,timed out,3,3,15,18,0,0,3,3,0,1,18.18%,0.00%,6.67%,0.00%,0.00%,11
England,Northern Ireland,M,0,6,2,5,2:46,L,eliminated,6,6,15,15,0,4,3,3,0,0,40.00%,0.00%,0.00%,0.00%,26.67%,10.84
Argentina,Portugal,M,0,6,1,5,2:46,W,eliminated,6,1,13,16,0,1,2,6,0,4,24.14%,0.00%,30.77%,0.00%,7.69%,10.48
England,Northern Ireland,Mix,3,3,1,3,2:46,W,eliminated,4,6,15,13,1,0,6,4,1,3,35.71%,7.69%,20.00%,7.69%,0.00%,10.12
Czechia,Spain,F,6,0,1,1,2:46,W,eliminated,6,3,16,16,0,0,3,6,1,2,28.13%,6.25%,12.50%,0.00%,0.00%,11.57
Netherlands,Switzerland,F,6,0,1,2,3:00,W,timed out,4,4,16,21,1,0,4,5,3,0,21.62%,14.29%,0.00%,4.76%,0.00%,12.33
England,Wales,F,6,0,1,4,3:00,L,timed out,2,4,14,12,0,0,4,2,1,2,23.08%,8.33%,14.29%,0.00%,0.00%,8.67
England,Wales,F,6,0,1,6,3:00,W,timed out,2,0,10,9,0,0,0,2,3,2,10.53%,33.33%,20.00%,0.00%,0.00%,6.33
Germany,Netherlands,M,0,6,1,1,2:47,W,eliminated,6,2,17,16,0,0,2,6,0,1,24.24%,0.00%,5.88%,0.00%,0.00%,11.86
Croatia,Czechia,Mix,3,3,2,3,2:47,W,eliminated,6,3,16,14,0,0,3,6,2,0,30.00%,14.29%,0.00%,0.00%,0.00%,10.78
Austria,Netherlands,F,6,0,1,7,2:47,W,eliminated,7,2,19,17,0,1,3,7,1,4,25.00%,5.88%,21.05%,0.00%,5.26%,12.93
Austria,Netherlands,F,6,0,2,4,2:48,L,eliminated,3,5,15,16,0,1,6,3,1,2,25.81%,6.25%,13.33%,0.00%,6.67%,11.07
Spain,Sweden,M,0,6,2,3,2:48,L,eliminated,1,4,14,10,0,2,0,3,4,0,20.83%,40.00%,0.00%,0.00%,14.29%,8.57
Northern Ireland,United States,Mix,3,3,2,1,2:49,W,eliminated,7,2,16,15,0,0,3,7,2,0,29.03%,13.33%,0.00%,0.00%,0.00%,11.01
Austria,Wales,Mix,3,3,2,5,2:49,W,eliminated,5,2,17,15,1,0,2,6,3,1,21.88%,20.00%,5.88%,6.67%,0.00%,11.36
Australia,Spain,F,6,0,1,8,3:00,W,timed out,2,3,9,10,1,0,3,3,1,0,26.32%,10.00%,0.00%,10.00%,0.00%,6.33
Czechia,Spain,Mix,3,3,1,6,2:49,L,eliminated,3,6,13,20,2,1,7,5,2,2,27.27%,10.00%,15.38%,10.00%,7.69%,11.72
Canada,Wales,M,0,6,2,6,2:50,L,eliminated,3,1,11,10,3,1,4,7,2,2,19.05%,20.00%,18.18%,30.00%,9.09%,7.41
Hungary,Wales,F,6,0,1,2,3:00,L,timed out,2,3,15,13,0,0,3,2,4,6,17.86%,30.77%,40.00%,0.00%,0.00%,9.33
Czechia,Denmark,M,0,6,1,4,2:50,W,eliminated,6,2,12,8,0,0,2,6,1,1,40.00%,12.50%,8.33%,0.00%,0.00%,7.06
Italy,Switzerland,M,0,6,1,3,2:50,L,eliminated,2,5,18,14,0,1,6,3,1,1,21.88%,7.14%,5.56%,0.00%,5.56%,11.29
